the_date,census_blockid,winner,loser,state,dma_name,block_metric,total_daily,contribution_pct,outlier_type,mover_ind,metric_type
2025-08-15,171194037023019,Home Telephone Company,Spectrum,Illinois,"St. Louis, MO-IL",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,171336004011036,Harrisonville Telephone,Mediacom,Illinois,"St. Louis, MO-IL",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,180731011001053,Northwestern Indiana Telephone Co.,Comcast,Indiana,"Chicago, IL-IN",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,180890207004007,Astound Broadband,Comcast,Indiana,"Chicago, IL-IN",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,180050106003006,ISO Media,Comcast,Indiana,"Indianapolis, IN",2.0,2.0,1.0,geographic_concentration,True,win
2025-08-15,180319694003020,Great Plains Communications,Comcast,Indiana,"Indianapolis, IN",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,180632105023007,TDS Telecom,Comcast,Indiana,"Indianapolis, IN",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,181050010013000,Smithville Telephone Co.,Comcast,Indiana,"Indianapolis, IN",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,181079568001010,Wintek Corporation,Tri-County Telephone (KS),Indiana,"Indianapolis, IN",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,180719680001086,Jackson County REMC,Comcast,Indiana,"Louisville, KY-IN",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,181019502004022,RTC Communications,Starlink,Indiana,"Terre Haute, IN-IL",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,181210303005041,Endeavor Communications,Comcast,Indiana,"Terre Haute, IN-IL",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,190959603003023,Starlink,South Slope Cooperative Telephone Company,Iowa,"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,191099504003030,Algona Municipal Utilities,Mediacom,Iowa,"Des Moines-Ames, IA",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,191530112052005,T-Mobile FWA,AT&T,Iowa,"Des Moines-Ames, IA",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,191550318003033,Millennium Telcom,Cox Communications,Iowa,"Omaha, NE-IA-MO",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,190339504023017,Winnebago Cooperative Telecom Association,Comcast,Iowa,"Rochester-Mason City-Austin, MN-IA-IL",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,190339506002020,Omnitel Communications,Muscatine Power and Water,Iowa,"Rochester-Mason City-Austin, MN-IA-IL",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,190219604002046,Long Lines Internet,Mediacom,Iowa,"Sioux City, IA-NE-SD",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,191930032002010,Western Iowa Telephone Association,Midcontinent,Iowa,"Sioux City, IA-NE-SD",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,200119559002042,Craw-Kan Telephone Cooperative,Socket Internet,Kansas,"Joplin-Pittsburg, MO-KS-OK",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,200219585004029,Wisper ISP,BOLT Fiber Optic Services,Kansas,"Joplin-Pittsburg, MO-KS-OK",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,200050816001015,JBN Telephone,Carson Communications,Kansas,"Kansas City, MO-KS",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,200450012021042,Midcontinent,Mediacom,Kansas,"Kansas City, MO-KS",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,200599545006082,KwiKom Communications,Brightspeed,Kansas,"Kansas City, MO-KS",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,201314802003002,Carson Communications,Cox Communications,Kansas,"Topeka, KS",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,200339676001072,Haviland Telephone Company,T-Mobile FWA,Kansas,"Wichita-Hutchinson Plus, KS",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,200354932002163,Wheat State Telephone,CenturyLink,Kansas,"Wichita-Hutchinson Plus, KS",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,200354934001058,Windstream,Google Fiber,Kansas,"Wichita-Hutchinson Plus, KS",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,201099546001015,S & T Communications,The Pioneer Telephone Association,Kansas,"Wichita-Hutchinson Plus, KS",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,201474753002012,Nextech,Spectrum,Kansas,"Wichita-Hutchinson Plus, KS",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,201550018002021,Allo Communications,Spectrum,Kansas,"Wichita-Hutchinson Plus, KS",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,201550018002021,Firefly Fiber,Comcast,Kansas,"Wichita-Hutchinson Plus, KS",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,201550018002021,Plant TiftNet,Comcast,Kansas,"Wichita-Hutchinson Plus, KS",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,201550018002021,VNET Fiber,Spectrum,Kansas,"Wichita-Hutchinson Plus, KS",1.0,1.0,1.0,geographic_concentration,True,win
