the_date,winner,loser,h2h_wins,h2h_share
2025-02-23,Verizon,Spectrum,32.0,100.0
2025-02-23,AT&T,Cox Communications,30.0,100.0
2025-02-23,Cox Communications,Spectrum,28.0,100.0
2025-02-23,Cox Communications,Comcast,28.0,100.0
2025-02-23,T-Mobile FWA,AT&T,27.0,100.0
2025-02-23,Spectrum,Verizon,26.0,100.0
2025-02-23,Frontier,Comcast,26.0,100.0
2025-02-23,Spectrum,Cox Communications,25.0,100.0
2025-02-23,Comcast,Frontier,24.0,100.0
2025-02-23,Spectrum,Verizon FWA,23.0,100.0
2025-02-23,Comcast,Verizon FWA,22.0,100.0
2025-02-23,Comcast,Altice,21.0,100.0
2025-02-23,Verizon FWA,Cox Communications,20.0,100.0
2025-02-23,Cox Communications,AT&T,20.0,100.0
2025-02-23,Spectrum,Altice,19.0,100.0
2025-02-23,Altice,Spectrum,19.0,100.0
2025-02-23,T-Mobile FWA,Cox Communications,18.0,100.0
2025-02-23,Brightspeed,Spectrum,18.0,100.0
2025-02-23,Altice,Comcast,17.0,100.0
2025-02-23,CenturyLink,Spectrum,17.0,100.0
2025-02-23,T-Mobile FWA,Altice,16.0,100.0
2025-02-23,Windstream,Spectrum,14.0,100.0
2025-02-23,Spectrum,Windstream,14.0,100.0
2025-02-23,Verizon,Altice,13.0,100.0
2025-02-23,Verizon FWA,AT&T,13.0,100.0
2025-02-23,Starlink,Spectrum,13.0,100.0
2025-02-23,AT&T,T-Mobile FWA,12.0,100.0
2025-02-23,Consolidated,Comcast,12.0,100.0
2025-02-23,Altice,AT&T,12.0,100.0
2025-02-23,Cincinnati Bell,Spectrum,12.0,100.0
2025-02-23,CenturyLink,Cox Communications,12.0,100.0
2025-02-23,Google Fiber,Spectrum,12.0,100.0
2025-02-23,Spectrum,CenturyLink,12.0,100.0
2025-02-23,Altice,Verizon,11.0,100.0
2025-02-23,Comcast,Metronet,11.0,100.0
2025-02-23,AT&T,Verizon FWA,10.0,100.0
2025-02-23,Cable One,Spectrum,10.0,100.0
2025-02-23,Cox Communications,T-Mobile FWA,10.0,100.0
2025-02-24,AT&T,Comcast,105.0,100.0
2025-02-24,Comcast,Spectrum,101.0,100.0
2025-02-24,AT&T,Spectrum,100.0,100.0
2025-02-24,Spectrum,Comcast,95.0,100.0
2025-02-24,Spectrum,AT&T,87.0,100.0
2025-02-24,Comcast,AT&T,85.0,100.0
2025-02-24,T-Mobile FWA,Comcast,77.0,100.0
2025-02-24,T-Mobile FWA,Spectrum,74.0,100.0
2025-02-24,Verizon FWA,Spectrum,47.0,100.0
2025-02-24,Comcast,T-Mobile FWA,47.0,100.0
2025-02-24,Verizon,Comcast,41.0,100.0
2025-02-24,Comcast,Verizon,40.0,100.0
2025-02-24,Frontier,Spectrum,40.0,100.0
2025-02-24,Verizon FWA,Comcast,39.0,100.0
2025-02-24,Spectrum,Frontier,35.0,100.0
2025-02-24,Comcast,CenturyLink,27.0,100.0
2025-02-24,T-Mobile FWA,AT&T,26.0,100.0
2025-02-24,Spectrum,T-Mobile FWA,25.0,100.0
2025-02-24,Altice,Spectrum,22.0,100.0
2025-02-24,CenturyLink,Comcast,22.0,100.0
2025-02-24,Cox Communications,Comcast,22.0,100.0
2025-02-24,T-Mobile FWA,Cox Communications,21.0,100.0
2025-02-24,Spectrum,Verizon FWA,21.0,100.0
2025-02-24,Comcast,Cox Communications,21.0,100.0
2025-02-24,Verizon,Spectrum,20.0,100.0
2025-02-24,Cox Communications,Spectrum,20.0,100.0
2025-02-24,Frontier,Comcast,19.0,100.0
2025-02-24,AT&T,Cox Communications,19.0,100.0
2025-02-24,Comcast,Altice,18.0,100.0
2025-02-24,Spectrum,Cox Communications,18.0,100.0
2025-02-24,Comcast,Frontier,17.0,100.0
2025-02-24,Spectrum,Altice,16.0,100.0
2025-02-24,Comcast,Verizon FWA,16.0,100.0
2025-02-24,Cincinnati Bell,Spectrum,16.0,100.0
2025-02-24,Spectrum,Verizon,15.0,100.0
2025-02-24,AT&T,T-Mobile FWA,15.0,100.0
2025-02-24,Google Fiber,Comcast,14.0,100.0
2025-02-24,Verizon,Altice,14.0,100.0
2025-02-24,CenturyLink,Spectrum,14.0,100.0
2025-02-24,Verizon FWA,AT&T,13.0,100.0
2025-02-24,Spectrum,Brightspeed,12.0,100.0
2025-02-24,Altice,Comcast,12.0,100.0
2025-02-24,Spectrum,CenturyLink,11.0,100.0
2025-02-24,CenturyLink,Cox Communications,10.0,100.0
2025-02-24,Altice,Verizon,10.0,100.0
2025-02-24,Google Fiber,Spectrum,10.0,100.0
2025-02-24,Starlink,Comcast,10.0,100.0
2025-02-24,Cox Communications,AT&T,10.0,100.0
2025-02-24,T-Mobile FWA,Frontier,10.0,100.0
2025-02-25,AT&T,Spectrum,146.0,100.0
2025-02-25,Comcast,Spectrum,134.0,100.0
2025-02-25,AT&T,Comcast,123.0,100.0
2025-02-25,Spectrum,Comcast,110.0,100.0
2025-02-25,T-Mobile FWA,Comcast,110.0,100.0
2025-02-25,T-Mobile FWA,Spectrum,91.0,100.0
2025-02-25,Comcast,AT&T,88.0,100.0
2025-02-25,Spectrum,AT&T,87.0,100.0
2025-02-25,Verizon,Comcast,61.0,100.0
2025-02-25,Comcast,Verizon,60.0,100.0
2025-02-25,Verizon FWA,Spectrum,59.0,100.0
2025-02-25,Verizon FWA,Comcast,57.0,100.0
2025-02-25,Comcast,T-Mobile FWA,57.0,100.0
2025-02-25,Frontier,Spectrum,55.0,100.0
2025-02-25,Spectrum,Frontier,54.0,100.0
2025-02-25,Spectrum,T-Mobile FWA,48.0,100.0
2025-02-25,CenturyLink,Comcast,43.0,100.0
2025-02-25,Comcast,CenturyLink,33.0,100.0
2025-02-25,Spectrum,Cox Communications,29.0,100.0
2025-02-25,Altice,Spectrum,28.0,100.0
2025-02-25,Cox Communications,Spectrum,27.0,100.0
2025-02-25,Frontier,Comcast,26.0,100.0
2025-02-25,T-Mobile FWA,AT&T,26.0,100.0
2025-02-25,Comcast,Frontier,25.0,100.0
2025-02-25,Comcast,Altice,25.0,100.0
2025-02-25,AT&T,T-Mobile FWA,24.0,100.0
2025-02-25,Cox Communications,Comcast,23.0,100.0
2025-02-25,Spectrum,Verizon,22.0,100.0
2025-02-25,Comcast,Verizon FWA,21.0,100.0
2025-02-25,T-Mobile FWA,Cox Communications,21.0,100.0
2025-02-25,Spectrum,Windstream,21.0,100.0
2025-02-25,Verizon,Spectrum,21.0,100.0
2025-02-25,Altice,Comcast,20.0,100.0
2025-02-25,T-Mobile FWA,Altice,20.0,100.0
2025-02-25,AT&T,Cox Communications,20.0,100.0
2025-02-25,Altice,Verizon,20.0,100.0
2025-02-25,Spectrum,Altice,20.0,100.0
2025-02-25,Frontier,Altice,19.0,100.0
2025-02-25,Spectrum,Brightspeed,17.0,100.0
2025-02-25,Spectrum,CenturyLink,17.0,100.0
2025-02-25,Brightspeed,Spectrum,16.0,100.0
2025-02-25,Spectrum,Verizon FWA,16.0,100.0
2025-02-25,Google Fiber,Comcast,16.0,100.0
2025-02-25,Cox Communications,AT&T,16.0,100.0
2025-02-25,Starlink,Spectrum,15.0,100.0
2025-02-25,Verizon,Altice,15.0,100.0
2025-02-25,CenturyLink,Cox Communications,15.0,100.0
2025-02-25,Google Fiber,Spectrum,14.0,100.0
2025-02-25,Windstream,Spectrum,13.0,100.0
2025-02-25,Google Fiber,AT&T,13.0,100.0
2025-02-25,Cox Communications,CenturyLink,13.0,100.0
2025-02-25,Verizon FWA,CenturyLink,13.0,100.0
2025-02-25,Astound Broadband,Comcast,13.0,100.0
2025-02-25,Verizon FWA,Cox Communications,12.0,100.0
2025-02-25,Cincinnati Bell,Spectrum,12.0,100.0
2025-02-25,T-Mobile FWA,Verizon FWA,12.0,100.0
2025-02-25,Verizon FWA,T-Mobile FWA,11.0,100.0
2025-02-25,AT&T,Altice,11.0,100.0
2025-02-25,Verizon,Cox Communications,11.0,100.0
2025-02-25,Spectrum,TDS Telecom,11.0,100.0
2025-02-25,Comcast,Cox Communications,10.0,100.0
2025-02-25,Comcast,Astound Broadband,10.0,100.0
2025-02-26,Spectrum,Comcast,164.0,100.0
2025-02-26,AT&T,Spectrum,152.0,100.0
2025-02-26,Comcast,Spectrum,140.0,100.0
2025-02-26,AT&T,Comcast,130.0,100.0
2025-02-26,T-Mobile FWA,Comcast,127.0,100.0
2025-02-26,T-Mobile FWA,Spectrum,122.0,100.0
2025-02-26,Spectrum,AT&T,118.0,100.0
2025-02-26,Comcast,AT&T,112.0,100.0
2025-02-26,Comcast,T-Mobile FWA,86.0,100.0
2025-02-26,Frontier,Spectrum,73.0,100.0
2025-02-26,Spectrum,T-Mobile FWA,62.0,100.0
2025-02-26,Verizon FWA,Comcast,59.0,100.0
2025-02-26,Verizon FWA,Spectrum,58.0,100.0
2025-02-26,Comcast,Verizon,57.0,100.0
2025-02-26,Frontier,Comcast,48.0,100.0
2025-02-26,CenturyLink,Comcast,47.0,100.0
2025-02-26,Comcast,CenturyLink,46.0,100.0
2025-02-26,Verizon,Comcast,40.0,100.0
2025-02-26,Spectrum,Frontier,40.0,100.0
2025-02-26,Spectrum,Cox Communications,38.0,100.0
2025-02-26,Cox Communications,Spectrum,36.0,100.0
2025-02-26,T-Mobile FWA,Cox Communications,36.0,100.0
2025-02-26,Spectrum,Verizon FWA,32.0,100.0
2025-02-26,T-Mobile FWA,AT&T,32.0,100.0
2025-02-26,Verizon,Spectrum,30.0,100.0
2025-02-26,AT&T,Cox Communications,29.0,100.0
2025-02-26,Cox Communications,Comcast,27.0,100.0
2025-02-26,Altice,Spectrum,26.0,100.0
2025-02-26,Comcast,Altice,26.0,100.0
2025-02-26,Comcast,Frontier,26.0,100.0
2025-02-26,Comcast,Verizon FWA,26.0,100.0
2025-02-26,Comcast,Cox Communications,25.0,100.0
2025-02-26,Spectrum,Windstream,23.0,100.0
2025-02-26,Spectrum,Verizon,23.0,100.0
2025-02-26,AT&T,T-Mobile FWA,22.0,100.0
2025-02-26,T-Mobile FWA,Verizon,22.0,100.0
2025-02-26,Google Fiber,Spectrum,21.0,100.0
2025-02-26,Verizon FWA,Cox Communications,20.0,100.0
2025-02-26,Cox Communications,AT&T,20.0,100.0
2025-02-26,T-Mobile FWA,Altice,19.0,100.0
2025-02-26,Starlink,Comcast,18.0,100.0
2025-02-26,CenturyLink,Spectrum,17.0,100.0
2025-02-26,Spectrum,Brightspeed,17.0,100.0
2025-02-26,Starlink,Spectrum,16.0,100.0
2025-02-26,Spectrum,CenturyLink,15.0,100.0
2025-02-26,Brightspeed,Spectrum,15.0,100.0
2025-02-26,Spectrum,Altice,15.0,100.0
2025-02-26,Verizon FWA,T-Mobile FWA,15.0,100.0
2025-02-26,Verizon FWA,CenturyLink,14.0,100.0
2025-02-26,Metronet,Comcast,14.0,100.0
2025-02-26,Frontier,Altice,14.0,100.0
2025-02-26,Altice,AT&T,14.0,100.0
2025-02-26,Verizon FWA,AT&T,14.0,100.0
2025-02-26,Astound Broadband,Comcast,14.0,100.0
2025-02-26,Verizon,Cox Communications,13.0,100.0
2025-02-26,Cincinnati Bell,Spectrum,12.0,100.0
2025-02-26,Altice,T-Mobile FWA,12.0,100.0
2025-02-26,Verizon FWA,Altice,12.0,100.0
2025-02-26,Brightspeed,Comcast,12.0,100.0
2025-02-26,Cox Communications,T-Mobile FWA,12.0,100.0
2025-02-26,T-Mobile FWA,Verizon FWA,11.0,100.0
2025-02-26,CenturyLink,Cox Communications,11.0,100.0
2025-02-26,Lumos,Spectrum,11.0,100.0
2025-02-26,AT&T,Altice,11.0,100.0
2025-02-26,AT&T,Verizon,11.0,100.0
2025-02-26,Altice,Comcast,10.333333333333334,100.00000000000001
2025-02-26,Altice,Verizon,10.0,100.0
2025-02-26,Consolidated,Comcast,10.0,100.0
2025-02-26,T-Mobile FWA,CenturyLink,10.0,100.0
2025-02-27,AT&T,Comcast,160.0,100.0
2025-02-27,Spectrum,Comcast,152.0,100.0
2025-02-27,AT&T,Spectrum,148.0,100.0
2025-02-27,Comcast,Spectrum,146.0,100.0
2025-02-27,Spectrum,AT&T,145.0,100.0
2025-02-27,T-Mobile FWA,Comcast,141.0,100.0
2025-02-27,T-Mobile FWA,Spectrum,121.0,100.0
2025-02-27,Comcast,AT&T,111.66666666666667,100.0
2025-02-27,Frontier,Spectrum,94.0,100.0
2025-02-27,Verizon FWA,Spectrum,76.0,100.0
2025-02-27,Spectrum,T-Mobile FWA,76.0,100.0
2025-02-27,Verizon FWA,Comcast,74.0,100.0
2025-02-27,Comcast,Verizon,68.0,100.0
2025-02-27,Verizon,Comcast,65.0,100.0
2025-02-27,Comcast,T-Mobile FWA,65.0,100.0
2025-02-27,Spectrum,Frontier,54.0,100.0
2025-02-27,T-Mobile FWA,AT&T,50.0,100.0
2025-02-27,Frontier,Comcast,50.0,100.0
2025-02-27,AT&T,Cox Communications,37.0,100.0
2025-02-27,CenturyLink,Comcast,34.0,100.0
2025-02-27,Spectrum,Verizon FWA,34.0,100.0
2025-02-27,Comcast,Cox Communications,33.0,100.0
2025-02-27,Comcast,Verizon FWA,30.0,100.0
2025-02-27,Cox Communications,AT&T,30.0,100.0
2025-02-27,Comcast,CenturyLink,30.0,100.0
2025-02-27,Spectrum,Verizon,30.0,100.0
2025-02-27,Spectrum,Cox Communications,28.0,100.0
2025-02-27,Cox Communications,Comcast,28.0,100.0
2025-02-27,Comcast,Frontier,26.0,100.0
2025-02-27,Comcast,Altice,26.0,100.0
2025-02-27,Brightspeed,Spectrum,25.0,100.0
2025-02-27,AT&T,T-Mobile FWA,25.0,100.0
2025-02-27,Verizon,Altice,24.0,100.0
2025-02-27,Cox Communications,Spectrum,23.0,100.0
2025-02-27,Spectrum,Altice,22.0,100.0
2025-02-27,T-Mobile FWA,Cox Communications,22.0,100.0
2025-02-27,Spectrum,Windstream,21.0,100.0
2025-02-27,CenturyLink,Cox Communications,21.0,100.0
2025-02-27,T-Mobile FWA,Altice,21.0,100.0
2025-02-27,Altice,Spectrum,21.0,100.0
2025-02-27,Verizon,Spectrum,20.666666666666664,100.0
2025-02-27,Verizon FWA,AT&T,20.0,100.0
2025-02-27,Altice,Comcast,20.0,100.0
2025-02-27,Altice,AT&T,20.0,100.0
2025-02-27,Spectrum,CenturyLink,18.0,100.0
2025-02-27,Cox Communications,T-Mobile FWA,18.0,100.0
2025-02-27,Spectrum,Brightspeed,18.0,100.0
2025-02-27,CenturyLink,Spectrum,17.0,100.0
2025-02-27,Windstream,Spectrum,17.0,100.0
2025-02-27,Altice,T-Mobile FWA,17.0,100.0
2025-02-27,Verizon FWA,Cox Communications,17.0,100.0
2025-02-27,T-Mobile FWA,Frontier,16.0,100.0
2025-02-27,T-Mobile FWA,CenturyLink,16.0,100.0
2025-02-27,Verizon FWA,T-Mobile FWA,16.0,100.0
2025-02-27,AT&T,Altice,16.0,100.0
2025-02-27,Google Fiber,Spectrum,16.0,100.0
2025-02-27,Spectrum,Cincinnati Bell,15.0,100.0
2025-02-27,Cox Communications,CenturyLink,15.0,100.0
2025-02-27,Starlink,Spectrum,15.0,100.0
2025-02-27,Astound Broadband,Comcast,12.0,100.0
2025-02-27,Spectrum,Metronet,12.0,100.0
2025-02-27,Starlink,Comcast,12.0,100.0
2025-02-27,AT&T,Cable One,12.0,100.0
2025-02-27,Google Fiber,AT&T,11.0,100.0
2025-02-27,T-Mobile FWA,Verizon FWA,11.0,100.0
2025-02-27,Verizon FWA,Altice,11.0,100.0
2025-02-27,AT&T,Verizon FWA,11.0,100.0
2025-02-27,Comcast,Windstream,11.0,100.0
2025-02-27,Frontier,Altice,11.0,100.0
2025-02-27,Cincinnati Bell,Spectrum,11.0,100.0
2025-02-27,Frontier,AT&T,11.0,100.0
2025-02-27,Windstream,Comcast,10.0,100.0
2025-02-27,Comcast,Astound Broadband,10.0,100.0
2025-02-27,Hotwire Fision,Comcast,10.0,100.0
2025-02-27,Verizon FWA,Frontier,10.0,100.0
2025-02-27,T-Mobile FWA,Verizon,10.0,100.0
2025-02-28,Spectrum,Comcast,205.0,100.0
2025-02-28,Comcast,Spectrum,177.0,100.0
2025-02-28,Spectrum,AT&T,173.0,100.0
2025-02-28,AT&T,Comcast,170.0,100.0
2025-02-28,T-Mobile FWA,Comcast,150.0,100.0
2025-02-28,T-Mobile FWA,Spectrum,146.0,100.0
2025-02-28,AT&T,Spectrum,127.0,100.0
2025-02-28,Comcast,AT&T,120.0,100.0
2025-02-28,Verizon,Comcast,88.66666666666667,100.00000000000001
2025-02-28,Verizon FWA,Spectrum,84.0,100.0
2025-02-28,Spectrum,T-Mobile FWA,81.0,100.0
2025-02-28,Verizon FWA,Comcast,79.0,100.0
2025-02-28,Frontier,Spectrum,74.0,100.0
2025-02-28,Comcast,T-Mobile FWA,71.0,100.0
2025-02-28,Comcast,Verizon,63.0,100.0
2025-02-28,Spectrum,Frontier,62.0,100.0
2025-02-28,Comcast,CenturyLink,53.0,100.0
2025-02-28,CenturyLink,Comcast,50.0,100.0
2025-02-28,Frontier,Comcast,49.0,100.0
2025-02-28,T-Mobile FWA,AT&T,48.0,100.0
2025-02-28,Spectrum,Cox Communications,45.0,100.0
2025-02-28,Spectrum,Verizon FWA,45.0,100.0
2025-02-28,Cox Communications,Spectrum,43.0,100.0
2025-02-28,Comcast,Cox Communications,38.0,100.0
2025-02-28,Comcast,Frontier,36.0,100.0
2025-02-28,T-Mobile FWA,Cox Communications,35.0,100.0
2025-02-28,Spectrum,Verizon,32.0,100.0
2025-02-28,Comcast,Verizon FWA,31.0,100.0
2025-02-28,Verizon,Spectrum,31.0,100.0
2025-02-28,Cox Communications,Comcast,30.0,100.0
2025-02-28,AT&T,T-Mobile FWA,28.0,100.0
2025-02-28,T-Mobile FWA,Altice,27.0,100.0
2025-02-28,Spectrum,Altice,25.0,100.0
2025-02-28,Altice,Comcast,24.666666666666664,100.0
2025-02-28,Brightspeed,Spectrum,24.0,100.0
2025-02-28,Comcast,Altice,23.0,100.0
2025-02-28,Altice,AT&T,23.0,100.0
2025-02-28,Cox Communications,AT&T,23.0,100.0
2025-02-28,Spectrum,Windstream,23.0,100.0
2025-02-28,CenturyLink,Spectrum,22.0,100.0
2025-02-28,Verizon FWA,Cox Communications,22.0,100.0
2025-02-28,Windstream,Spectrum,21.0,100.0
2025-02-28,AT&T,Cox Communications,21.0,100.0
2025-02-28,Verizon FWA,AT&T,21.0,100.0
2025-02-28,T-Mobile FWA,CenturyLink,21.0,100.0
2025-02-28,Spectrum,CenturyLink,20.0,100.0
2025-02-28,Altice,Spectrum,17.666666666666664,100.0
2025-02-28,Spectrum,Brightspeed,17.0,100.0
2025-02-28,Google Fiber,Comcast,17.0,100.0
2025-02-28,Cox Communications,T-Mobile FWA,16.0,100.0
2025-02-28,TDS Telecom,Spectrum,16.0,100.0
2025-02-28,Verizon,AT&T,16.0,100.0
2025-02-28,T-Mobile FWA,Verizon,15.0,100.0
2025-02-28,Verizon FWA,T-Mobile FWA,15.0,100.0
2025-02-28,Cox Communications,Verizon FWA,15.0,100.0
2025-02-28,Altice,T-Mobile FWA,14.333333333333334,100.0
2025-02-28,Consolidated,Comcast,14.0,100.0
2025-02-28,Cincinnati Bell,Spectrum,14.0,100.0
2025-02-28,Windstream,Comcast,14.0,100.0
2025-02-28,AT&T,Altice,14.0,100.0
2025-02-28,Frontier,T-Mobile FWA,14.0,100.0
2025-02-28,T-Mobile FWA,Frontier,13.0,100.0
2025-02-28,Starlink,Spectrum,13.0,100.0
2025-02-28,Comcast,Windstream,13.0,100.0
2025-02-28,Comcast,Atlantic Broadband,13.0,100.0
2025-02-28,Starlink,Comcast,13.0,100.0
2025-02-28,Frontier,Altice,12.0,100.0
2025-02-28,Comcast,Brightspeed,12.0,100.0
2025-02-28,Verizon,T-Mobile FWA,12.0,100.0
2025-02-28,Cox Communications,CenturyLink,12.0,100.0
2025-02-28,Comcast,WOW!,12.0,100.0
2025-02-28,CenturyLink,Cox Communications,12.0,100.0
2025-02-28,Lumos,Spectrum,12.0,100.0
2025-02-28,T-Mobile FWA,Verizon FWA,12.0,100.0
2025-02-28,Cable One,Spectrum,11.0,100.0
2025-02-28,Metronet,Spectrum,11.0,100.0
